epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8192,2.17999,3.04809,1.5425,0.87992,0.18382,0.25673,0.1549,1.4084,2.15655,1.22733,0.0700746,0.00332504,0.00332504
2,151.987,2.17216,2.63422,1.44975,0.79452,0.17724,0.20079,0.11312,1.74059,2.14303,1.34034,0.0399428,0.00652654,0.00652654
3,225.31,2.46458,2.99987,1.57066,0.67005,0.13816,0.1205,0.05584,2.15303,2.43266,1.57347,0.00967896,0.00959604,0.00959604
4,297.896,2.63445,3.17248,1.65883,0.69089,0.13288,0.12239,0.06034,2.15951,2.43879,1.57287,0.009406,0.009406,0.009406
5,371.723,2.53647,3.06215,1.60637,0.73885,0.16176,0.16884,0.08887,1.96234,2.187,1.50289,0.009208,0.009208,0.009208
6,445.35,2.49744,3.05818,1.57445,0.84677,0.14822,0.21361,0.115,1.76393,2.20119,1.38108,0.00901,0.00901,0.00901
7,518.921,2.40229,2.85726,1.52938,0.80554,0.21829,0.24318,0.12877,1.74462,2.08495,1.37678,0.008812,0.008812,0.008812
8,592.936,2.34737,2.76714,1.50222,0.79813,0.21594,0.23672,0.13078,1.73913,1.82851,1.37219,0.008614,0.008614,0.008614
9,667.29,2.30694,2.77362,1.48719,0.79606,0.22642,0.25754,0.14485,1.70488,1.87847,1.35735,0.008416,0.008416,0.008416
10,740.657,2.29387,2.70177,1.47321,0.81658,0.23846,0.27305,0.15137,1.70663,1.756,1.33495,0.008218,0.008218,0.008218
11,814.925,2.27573,2.66139,1.46298,0.83367,0.24303,0.27937,0.16428,1.61778,1.80364,1.29281,0.00802,0.00802,0.00802
12,891.533,2.20047,2.55177,1.4377,0.8347,0.23065,0.27126,0.15836,1.59965,1.76599,1.29762,0.007822,0.007822,0.007822
13,966.631,2.19721,2.55257,1.43955,0.83363,0.24834,0.29225,0.1612,1.57904,1.71075,1.28582,0.007624,0.007624,0.007624
14,1043.58,2.13116,2.53675,1.40706,0.8419,0.25077,0.28988,0.17216,1.5369,1.68847,1.28952,0.007426,0.007426,0.007426
15,1121.7,2.18625,2.55816,1.41659,0.8546,0.26741,0.31504,0.18364,1.5485,1.53812,1.26999,0.007228,0.007228,0.007228
16,1202.54,2.14144,2.49605,1.40176,0.83323,0.28225,0.30687,0.17782,1.5417,1.57394,1.26968,0.00703,0.00703,0.00703
17,1280.09,2.12039,2.45137,1.38827,0.84464,0.28289,0.314,0.18448,1.54736,1.57013,1.2645,0.006832,0.006832,0.006832
18,1361.71,2.0993,2.44355,1.37617,0.84976,0.28289,0.32598,0.18964,1.52636,1.46068,1.25912,0.006634,0.006634,0.006634
19,1446.05,2.09594,2.49274,1.38908,0.86197,0.27477,0.32334,0.1914,1.51233,1.50165,1.25291,0.006436,0.006436,0.006436
20,1526.1,2.07819,2.42645,1.37903,0.84598,0.29412,0.32566,0.19607,1.50852,1.47455,1.25987,0.006238,0.006238,0.006238
21,1605.33,2.02779,2.43288,1.36431,0.8531,0.28837,0.32859,0.19846,1.5024,1.54777,1.23743,0.00604,0.00604,0.00604
22,1683.56,2.02096,2.37119,1.35623,0.84694,0.27515,0.31503,0.19111,1.46674,1.55475,1.2338,0.005842,0.005842,0.005842
23,1758.19,1.97712,2.27446,1.33934,0.85274,0.29915,0.33638,0.20314,1.47807,1.44829,1.23513,0.005644,0.005644,0.005644
24,1840.92,2.03755,2.36795,1.34882,0.86171,0.29151,0.33586,0.19911,1.44274,1.38031,1.22111,0.005446,0.005446,0.005446
25,1915.85,1.94521,2.25695,1.33579,0.86476,0.29748,0.33976,0.20616,1.4528,1.37598,1.23457,0.005248,0.005248,0.005248
26,1999.03,1.96005,2.24905,1.34426,0.85331,0.30387,0.3397,0.20374,1.40078,1.38966,1.21376,0.00505,0.00505,0.00505
27,2076.57,1.99834,2.36998,1.34126,0.86258,0.30495,0.34606,0.20717,1.50872,1.40054,1.2489,0.004852,0.004852,0.004852
28,2158.99,1.94836,2.26766,1.32038,0.87222,0.30573,0.3507,0.21363,1.42305,1.32713,1.21933,0.004654,0.004654,0.004654
29,2241.79,1.92993,2.27358,1.31124,0.86855,0.32082,0.35458,0.21856,1.41683,1.35796,1.2114,0.004456,0.004456,0.004456
30,2324.36,1.949,2.27585,1.33376,0.8611,0.3096,0.34691,0.21553,1.41403,1.32827,1.20572,0.004258,0.004258,0.004258
31,2399.96,1.93627,2.31292,1.31177,0.8838,0.30882,0.35714,0.21673,1.41083,1.37818,1.19142,0.00406,0.00406,0.00406
32,2473.58,1.84986,2.20519,1.28603,0.87266,0.31373,0.35619,0.22053,1.37848,1.31026,1.17757,0.003862,0.003862,0.003862
33,2553.01,1.92058,2.17705,1.3029,0.87354,0.31115,0.34771,0.21274,1.4222,1.33978,1.20611,0.003664,0.003664,0.003664
34,2626.85,1.90067,2.23281,1.30512,0.87921,0.3171,0.35795,0.22204,1.42685,1.35152,1.21041,0.003466,0.003466,0.003466
35,2706.07,1.88805,2.23203,1.29454,0.87121,0.31618,0.35183,0.21603,1.43299,1.29212,1.22486,0.003268,0.003268,0.003268
