epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5786,2.06085,2.97721,1.46907,0.87144,0.13454,0.20835,0.11256,1.52638,2.09656,1.14333,0.0700733,0.00332518,0.00332518
2,176.217,2.12638,2.6525,1.43982,0.74091,0.16907,0.16917,0.09278,1.82062,2.33368,1.30734,0.0399415,0.00652668,0.00652668
3,259.786,2.46873,3.11168,1.57507,0.11745,0.0898,0.05991,0.02965,2.35987,7.94785,1.61016,0.00967767,0.00959617,0.00959617
4,343.048,2.60628,3.12578,1.65099,0.21221,0.08703,0.0805,0.04216,2.41081,2.87121,1.54709,0.009406,0.009406,0.009406
5,425.99,2.52056,3.0427,1.58256,0.19039,0.11752,0.10499,0.05238,2.03843,2.52175,1.43039,0.009208,0.009208,0.009208
6,509.2,2.37121,2.83902,1.5417,0.20654,0.14246,0.13306,0.07516,1.92587,2.52614,1.37976,0.00901,0.00901,0.00901
7,592.257,2.32962,2.80894,1.51151,0.7682,0.13914,0.16606,0.08913,1.90014,2.18708,1.32331,0.008812,0.008812,0.008812
8,676.114,2.2832,2.74525,1.47744,0.80576,0.15466,0.1866,0.0987,1.88137,2.23545,1.33294,0.008614,0.008614,0.008614
9,759.248,2.22448,2.63318,1.46302,0.79777,0.18958,0.21427,0.11827,1.84148,1.98115,1.296,0.008416,0.008416,0.008416
10,843.125,2.20914,2.64024,1.43449,0.76142,0.20288,0.21009,0.12139,1.71279,1.78938,1.27589,0.008218,0.008218,0.008218
11,926.301,2.18076,2.62709,1.41594,0.79141,0.21064,0.23533,0.13124,1.70526,1.86798,1.27621,0.00802,0.00802,0.00802
12,1010.28,2.15046,2.58652,1.41028,0.80828,0.22339,0.25519,0.1428,1.64173,1.7567,1.23171,0.007822,0.007822,0.007822
13,1093.18,2.13192,2.5549,1.41291,0.78869,0.22672,0.24103,0.13225,1.66556,1.75917,1.24332,0.007624,0.007624,0.007624
14,1176.19,2.11231,2.60621,1.40389,0.83955,0.20399,0.24843,0.1413,1.67687,1.95555,1.24263,0.007426,0.007426,0.007426
